호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
3호선,331,남부터미널,1095462,960710,1117309,1071431,1097310,1012367,1067760,1051050,1000482,1079920,1075996,1078907
3호선,332,양재,1255565,1024737,1271441,1301927,1287254,1175715,1242834,1158272,1132379,1296264,1297789,1291608
3호선,333,매봉,354963,288435,351853,368721,363643,334381,363665,332594,322463,362768,359011,363210
3호선,334,도곡,176093,144561,181139,191098,188652,169600,177340,161728,163697,188161,188382,187398
3호선,335,대치,394196,334547,398294,383063,403653,370629,405895,397789,375203,407391,396685,368698
3호선,336,학여울,78412,61986,95428,103388,94634,80781,85153,81577,73884,73557,96468,104732
3호선,337,대청,300273,256710,322654,331117,332824,306348,332081,305522,300377,327495,333697,335149
3호선,338,일원,296159,245388,303768,318240,321954,293543,316274,293079,288850,321284,322893,319037
3호선,339,수서,571557,487944,586843,591594,602624,559379,582610,558290,549030,605408,608723,608348
3호선,340,가락시장(3),314875,259687,311281,317574,318676,294207,307839,290252,282756,315743,314136,325483
3호선,341,경찰병원,244590,200443,240081,242882,244871,225736,242659,230895,221410,245466,241969,245035
3호선,342,오금(3),209122,173453,213059,216430,216353,198341,209300,198186,197032,217407,212380,211355
4호선,409,당고개,393449,345278,423125,425216,446526,410478,422067,405348,398028,440723,423386,427654
4호선,410,상계,639608,550458,672868,674243,692965,633311,656883,619383,611701,669863,653824,655295
4호선,411,노원(4),679368,600497,702191,691614,732396,668886,694528,662448,639645,704674,687299,714840
4호선,412,창동,886306,762711,915859,921853,961496,883779,911191,868635,855517,931810,906973,919207
4호선,413,쌍문,1007984,866769,1039186,1037304,1068539,979996,1016178,956509,937026,1033167,1010833,1035978
