"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상"
"서울특별시 강북구 번2동(1130560300)","16,435","16,435","689","1,091","2,210","1,809","2,430","2,773","2,660","2,012","677","80","4"
"서울특별시 강북구 번3동(1130560800)","17,540","17,540","962","1,359","1,940","1,748","2,670","2,831","2,664","2,515","753","88","10"
"서울특별시 강북구 수유1동(1130561500)","21,219","21,219","1,057","1,357","3,067","2,783","3,018","3,625","3,332","1,996","832","114","38"
"서울특별시 강북구 수유2동(1130562500)","21,460","21,460","1,064","1,434","2,988","2,587","3,056","3,778","3,320","2,141","961","127","4"
"서울특별시 강북구 수유3동(1130563500)","23,531","23,531","848","1,115","4,308","3,390","3,312","4,046","3,401","2,162","837","98","14"
"서울특별시 강북구 우이동(1130564500)","20,939","20,939","1,090","1,403","2,675","2,594","2,997","3,588","3,303","2,175","940","144","30"
"서울특별시 강북구 인수동(1130566000)","31,319","31,319","1,565","2,143","4,104","3,847","4,507","5,427","4,967","3,215","1,335","190","19"
"서울특별시 도봉구 (1132000000)","325,257","325,257","18,775","25,627","43,412","40,993","48,535","57,020","49,740","27,706","11,603","1,671","175"
"서울특별시 도봉구 창제1동(1132051100)","25,241","25,241","1,574","2,176","3,307","3,407","4,116","4,183","3,479","1,985","892","115","7"
"서울특별시 도봉구 창제2동(1132051200)","29,643","29,643","1,818","2,284","4,139","4,144","4,588","5,180","4,147","2,307","924","109","3"
"서울특별시 도봉구 창제3동(1132051300)","14,310","14,310","774","1,090","1,826","1,715","2,165","2,621","2,158","1,379","516","56","10"
"서울특별시 도봉구 창제4동(1132051400)","27,195","27,195","1,799","2,618","3,738","3,416","4,433","4,921","3,492","1,741","889","139","9"
"서울특별시 도봉구 창제5동(1132051500)","25,198","25,198","1,577","1,954","3,724","3,558","3,571","4,454","3,614","1,794","805","135","12"
"서울특별시 도봉구 도봉제1동(1132052100)","21,660","21,660","878","1,203","2,633","2,410","2,927","3,811","3,947","2,708","1,002","124","17"
"서울특별시 도봉구 도봉제2동(1132052200)","27,785","27,785","1,644","1,742","3,339","3,646","3,809","4,508","4,945","2,800","1,150","174","28"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,790","21,790","1,191","1,618","3,093","2,598","3,245","3,692","3,333","2,061","835","108","16"
"서울특별시 도봉구 쌍문제2동(1132067000)","19,246","19,246","1,018","1,401","2,545","2,622","2,795","3,330","3,023","1,648","737","109","18"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,769","16,769","804","1,016","2,506","2,378","2,433","2,848","2,456","1,639","600","81","8"
"서울특별시 도봉구 쌍문제4동(1132068100)","19,262","19,262","1,212","2,037","2,564","2,325","3,006","3,437","2,809","1,190","570","105","7"
"서울특별시 도봉구 방학제1동(1132069000)","28,975","28,975","1,546","2,220","3,906","3,348","4,242","5,426","4,597","2,588","938","152","12"
"서울특별시 도봉구 방학제2동(1132070000)","20,282","20,282","948","1,488","2,723","2,210","2,951","3,773","3,348","1,967","748","108","18"
"서울특별시 도봉구 방학제3동(1132071000)","27,901","27,901","1,992","2,780","3,369","3,216","4,254","4,836","4,392","1,899","997","156","10"
"서울특별시 노원구 (1135000000)","523,037","523,037","33,182","53,235","73,182","64,740","86,240","87,828","67,804","37,536","16,494","2,508","288"
"서울특별시 노원구 월계1동(1135056000)","22,446","22,446","1,217","1,717","3,862","2,715","3,440","3,566","3,086","1,981","731","113","18"
"서울특별시 노원구 월계2동(1135057000)","27,472","27,472","1,764","2,179","3,244","3,239","4,337","4,626","4,381","2,503","1,018","167","14"
"서울특별시 노원구 월계3동(1135058000)","30,605","30,605","2,248","2,166","3,600","4,637","4,677","4,802","4,593","2,603","1,112","152","15"
"서울특별시 노원구 공릉1동(1135059500)","37,680","37,680","2,135","2,656","6,826","5,406","5,406","5,852","5,415","2,768","1,031","168","17"
"서울특별시 노원구 공릉2동(1135060000)","39,760","39,760","2,919","4,404","6,707","5,227","6,578","6,115","4,468","2,226","962","141","13"
"서울특별시 노원구 하계1동(1135061100)","27,471","27,471","1,183","3,172","4,689","2,749","4,237","4,977","3,555","1,827","946","127","9"
"서울특별시 노원구 하계2동(1135061200)","22,665","22,665","1,501","2,848","3,090","2,557","4,074","3,917","2,520","1,370","689","95","4"
"서울특별시 노원구 중계본동(1135061900)","24,880","24,880","1,546","4,535","3,244","1,910","5,094","4,563","2,258","1,082","549","85","14"
"서울특별시 노원구 중계1동(1135062100)","27,465","27,465","1,992","5,759","2,970","2,012","6,631","4,462","2,060","994","501","70","14"
"서울특별시 노원구 중계4동(1135062400)","20,695","20,695","1,178","2,321","2,615","1,993","3,540","3,615","2,640","1,900","763","117","13"
"서울특별시 노원구 중계2.3동(1135062500)","35,446","35,446","2,094","3,219","4,339","4,304","5,919","5,652","4,817","3,349","1,524","214","15"
"서울특별시 노원구 상계1동(1135063000)","39,044","39,044","2,363","3,375","5,301","4,931","5,739","7,010","5,890","2,935","1,235","214","51"
"서울특별시 노원구 상계2동(1135064000)","20,535","20,535","1,002","1,875","3,315","2,332","3,097","3,942","2,864","1,422","579","94","13"
"서울특별시 노원구 상계3.4동(1135066500)","27,076","27,076","1,419","2,121","3,251","2,966","4,005","4,805","4,341","2,770","1,230","134","34"
"서울특별시 노원구 상계5동(1135067000)","24,667","24,667","1,107","2,069","3,487","2,626","3,734","4,545","3,664","2,313","945","151","26"
"서울특별시 노원구 상계6.7동(1135069500)","33,509","33,509","2,492","3,065","4,630","4,935","5,567","5,647","3,981","1,986","1,006","193","7"
"서울특별시 노원구 상계8동(1135070000)","22,914","22,914","2,506","2,037","2,693","4,727","3,912","3,013","2,244","1,168","522","89","3"
"서울특별시 노원구 상계9동(1135071000)","21,136","21,136","1,378","2,164","2,753","2,808","3,503","3,623","2,755","1,385","654","109","4"
"서울특별시 노원구 상계10동(1135072000)","17,571","17,571","1,138","1,553","2,566","2,666","2,750","3,096","2,272","954","497","75","4"
"서울특별시 은평구 (1138000000)","479,835","479,835","29,704","38,676","67,058","68,502","76,628","77,274","64,438","39,121","15,897","2,112","425"
"서울특별시 은평구 녹번동(1138051000)","37,396","37,396","2,485","2,340","5,068","6,065","5,834","5,893","5,103","3,147","1,263","173","25"
"서울특별시 은평구 불광제1동(1138052000)","39,733","39,733","2,398","2,694","5,472","5,443","6,019","6,772","5,606","3,520","1,572","203","34"
"서울특별시 은평구 불광제2동(1138053000)","28,441","28,441","1,140","1,810","4,347","3,860","3,953","4,929","4,409","2,766","1,092","123","12"
"서울특별시 은평구 갈현제1동(1138055100)","23,167","23,167","998","1,596","3,752","3,056","3,330","4,013","3,479","2,105","715","109","14"
"서울특별시 은평구 갈현제2동(1138055200)","28,885","28,885","1,576","2,463","4,374","3,918","4,716","4,800","3,681","2,311","911","116","19"
